Timestamp,Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C),current_fullness,fill_rate,hour,dayofweek
2025-11-25 10:48:39.209000+00:00,2025-11-25T10:48:39.209Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:48:53.847000+00:00,2025-11-25T10:48:53.847Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:49:08.046000+00:00,2025-11-25T10:49:08.046Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:49:23.171000+00:00,2025-11-25T10:49:23.171Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:49:39.242000+00:00,2025-11-25T10:49:39.242Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:49:53.468000+00:00,2025-11-25T10:49:53.468Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:50:10.185000+00:00,2025-11-25T10:50:10.185Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:50:24.436000+00:00,2025-11-25T10:50:24.436Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:50:38.232000+00:00,2025-11-25T10:50:38.232Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:50:52.990000+00:00,2025-11-25T10:50:52.990Z,3,82.0,CLOSED,37.22,82,53.0,10,1
2025-11-25 10:51:08.201000+00:00,2025-11-25T10:51:08.201Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:51:23.281000+00:00,2025-11-25T10:51:23.281Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:51:38.182000+00:00,2025-11-25T10:51:38.182Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:51:53.220000+00:00,2025-11-25T10:51:53.220Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:52:07.967000+00:00,2025-11-25T10:52:07.967Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:52:25.472000+00:00,2025-11-25T10:52:25.472Z,3,82.0,CLOSED,37.22,82,53.0,10,1
2025-11-25 10:52:38.166000+00:00,2025-11-25T10:52:38.166Z,3,82.0,CLOSED,53.33,82,53.0,10,1
2025-11-25 10:52:53.030000+00:00,2025-11-25T10:52:53.030Z,3,82.0,CLOSED,37.22,82,53.0,10,1
2025-11-25 10:53:08.151000+00:00,2025-11-25T10:53:08.151Z,3,82.0,CLOSED,53.33,82,48.3,10,1
2025-11-25 10:53:23.152000+00:00,2025-11-25T10:53:23.152Z,3,82.0,CLOSED,53.33,82,43.6,10,1
2025-11-25 10:53:38.460000+00:00,2025-11-25T10:53:38.460Z,3,82.0,CLOSED,53.33,82,38.9,10,1
2025-11-25 10:53:54.139000+00:00,2025-11-25T10:53:54.139Z,3,82.0,CLOSED,53.33,82,33.6,10,1
2025-11-25 10:54:08.006000+00:00,2025-11-25T10:54:08.006Z,3,82.0,CLOSED,37.78,82,28.3,10,1
2025-11-25 10:54:23.564000+00:00,2025-11-25T10:54:23.564Z,3,82.0,CLOSED,53.33,82,23.0,10,1
2025-11-25 10:54:38.981000+00:00,2025-11-25T10:54:38.981Z,3,82.0,CLOSED,53.33,82,17.7,10,1
2025-11-25 10:54:53.131000+00:00,2025-11-25T10:54:53.131Z,3,82.0,CLOSED,53.33,82,12.4,10,1
2025-11-25 10:55:08.068000+00:00,2025-11-25T10:55:08.068Z,3,82.0,CLOSED,53.33,82,7.1,10,1
2025-11-25 10:55:24.998000+00:00,2025-11-25T10:55:24.998Z,3,82.0,CLOSED,53.33,82,1.8,10,1
2025-11-25 10:55:38.180000+00:00,2025-11-25T10:55:38.180Z,3,82.0,CLOSED,53.33,82,1.2,10,1
