Timestamp (ISO 8601),Distance (cm),Fullness (%),Lid Status,CPU Temp (°C)
2025-11-24T05:00:17.142Z,16,5,CLOSED,53.33
2025-11-24T05:00:32.089Z,15,11,CLOSED,53.33
2025-11-24T05:00:47.018Z,15,11,CLOSED,53.33
2025-11-24T05:01:01.816Z,15,11,CLOSED,53.33
2025-11-24T05:01:16.973Z,16,5,CLOSED,53.33
2025-11-24T05:01:32.355Z,15,11,CLOSED,53.33
2025-11-24T05:01:46.935Z,15,11,CLOSED,53.33
2025-11-24T05:02:02.056Z,15,11,CLOSED,53.33
2025-11-24T05:02:17.049Z,15,11,CLOSED,53.33
2025-11-24T05:02:32.129Z,16,5,CLOSED,53.33
2025-11-24T05:02:47.048Z,15,11,CLOSED,53.33
2025-11-24T05:03:01.995Z,15,11,CLOSED,53.33
2025-11-24T05:03:17.135Z,16,5,CLOSED,35
2025-11-24T05:03:31.792Z,15,11,CLOSED,53.33
2025-11-24T05:03:47.022Z,15,11,CLOSED,35
2025-11-24T05:04:01.914Z,15,11,CLOSED,53.33
2025-11-24T05:04:17.325Z,16,5,CLOSED,53.33
2025-11-24T05:04:33.010Z,16,5,CLOSED,53.33
2025-11-24T05:04:46.919Z,16,5,CLOSED,53.33
2025-11-24T05:05:01.993Z,15,11,CLOSED,53.33
2025-11-24T05:05:17.034Z,16,5,CLOSED,53.33
2025-11-24T05:05:32.039Z,16,5,CLOSED,53.33
2025-11-24T05:05:46.865Z,16,5,CLOSED,53.33
2025-11-24T05:06:02.018Z,15,11,CLOSED,53.33
2025-11-24T05:06:16.906Z,15,11,CLOSED,53.33
2025-11-24T05:06:32.089Z,15,11,CLOSED,53.33
2025-11-24T05:06:47.034Z,16,5,CLOSED,53.33
2025-11-24T05:07:01.937Z,15,11,CLOSED,53.33
2025-11-24T05:07:18.304Z,15,11,CLOSED,53.33
2025-11-24T05:07:31.873Z,16,5,CLOSED,53.33
2025-11-24T05:07:46.832Z,16,5,CLOSED,53.33
2025-11-24T05:08:01.900Z,15,11,CLOSED,53.33
2025-11-24T05:08:17.079Z,16,5,CLOSED,53.33
2025-11-24T05:08:32.013Z,15,11,CLOSED,53.33
2025-11-24T05:08:47.143Z,15,11,CLOSED,53.33
2025-11-24T05:09:02.139Z,15,11,CLOSED,53.33
2025-11-24T05:09:17.120Z,16,5,CLOSED,53.33
2025-11-24T05:09:32.279Z,16,5,CLOSED,53.33
2025-11-24T05:09:47.983Z,16,5,CLOSED,53.33
2025-11-24T05:10:02.172Z,16,5,CLOSED,36.11
2025-11-24T05:10:17.081Z,16,5,CLOSED,53.33
2025-11-24T05:10:32.242Z,16,5,CLOSED,53.33
2025-11-24T05:10:47.868Z,15,11,CLOSED,53.33
2025-11-24T05:11:01.892Z,16,5,CLOSED,53.33
2025-11-24T05:11:16.991Z,15,11,CLOSED,53.33
2025-11-24T05:11:31.921Z,15,11,CLOSED,53.33
2025-11-24T05:11:46.679Z,16,5,CLOSED,53.33
2025-11-24T05:12:02.005Z,16,5,CLOSED,53.33
2025-11-24T05:12:16.942Z,16,5,CLOSED,53.33
2025-11-24T05:12:31.890Z,16,5,CLOSED,53.33
2025-11-24T05:12:47.259Z,16,5,CLOSED,53.33
2025-11-24T05:13:01.925Z,16,5,CLOSED,53.33
2025-11-24T05:13:16.823Z,15,11,CLOSED,53.33
2025-11-24T05:13:31.875Z,16,5,CLOSED,53.33
2025-11-24T05:13:47.547Z,15,11,CLOSED,53.33
2025-11-24T05:14:01.829Z,16,5,CLOSED,53.33
2025-11-24T05:14:17.071Z,16,5,CLOSED,53.33
2025-11-24T05:14:31.691Z,16,5,CLOSED,53.33
2025-11-24T05:14:46.740Z,15,11,CLOSED,53.33
2025-11-24T05:15:01.774Z,16,5,CLOSED,53.33
2025-11-24T05:15:17.514Z,16,5,CLOSED,53.33
2025-11-24T05:15:31.979Z,16,5,CLOSED,53.33
2025-11-24T05:15:47.965Z,16,5,CLOSED,53.33
2025-11-24T05:16:01.859Z,15,11,CLOSED,53.33
2025-11-24T05:16:16.880Z,16,5,CLOSED,36.11
2025-11-24T05:16:31.969Z,15,11,CLOSED,53.33
2025-11-24T05:16:46.956Z,16,5,CLOSED,36.11
2025-11-24T05:17:01.896Z,16,5,CLOSED,53.33
2025-11-24T05:17:17.283Z,16,5,CLOSED,53.33
2025-11-24T05:17:32.534Z,15,11,CLOSED,53.33
2025-11-24T05:17:46.871Z,15,11,CLOSED,53.33
2025-11-24T05:18:01.805Z,15,11,CLOSED,53.33
2025-11-24T05:18:16.684Z,16,5,CLOSED,53.33
2025-11-24T05:18:31.948Z,16,5,CLOSED,53.33
2025-11-24T05:18:46.836Z,16,5,CLOSED,53.33
2025-11-24T05:19:01.814Z,16,5,CLOSED,53.33
2025-11-24T05:19:16.990Z,16,5,CLOSED,53.33
2025-11-24T05:19:32.014Z,15,11,CLOSED,53.33
2025-11-24T05:19:46.979Z,16,5,CLOSED,53.33
2025-11-24T05:20:02.018Z,16,5,CLOSED,53.33
2025-11-24T05:20:16.850Z,16,5,CLOSED,53.33
2025-11-24T05:20:32.003Z,15,11,CLOSED,53.33
2025-11-24T05:20:46.943Z,16,5,CLOSED,53.33
2025-11-24T05:21:02.030Z,15,11,CLOSED,53.33
2025-11-24T05:21:17.085Z,16,5,CLOSED,53.33
2025-11-24T05:21:31.710Z,16,5,CLOSED,53.33
2025-11-24T05:21:46.845Z,16,5,CLOSED,53.33
2025-11-24T05:22:02.031Z,16,5,CLOSED,53.33
2025-11-24T05:22:16.844Z,16,5,CLOSED,53.33
2025-11-24T05:22:31.733Z,16,5,CLOSED,53.33
2025-11-24T05:22:46.673Z,16,5,CLOSED,53.33
2025-11-24T05:23:01.704Z,16,5,CLOSED,36.11
2025-11-24T05:23:16.826Z,16,5,CLOSED,53.33
2025-11-24T05:23:32.136Z,16,5,CLOSED,36.11
2025-11-24T05:23:46.907Z,16,5,CLOSED,53.33
2025-11-24T05:24:01.915Z,16,5,CLOSED,53.33
2025-11-24T05:24:16.847Z,16,5,CLOSED,53.33
2025-11-24T05:24:32.780Z,16,5,CLOSED,53.33
2025-11-24T05:24:47.047Z,16,5,CLOSED,53.33
2025-11-24T05:25:01.960Z,16,5,CLOSED,53.33
2025-11-24T05:25:17.261Z,16,5,CLOSED,53.33
2025-11-24T05:25:32.203Z,16,5,CLOSED,53.33
2025-11-24T05:25:46.951Z,16,5,CLOSED,53.33
2025-11-24T05:26:01.973Z,16,5,CLOSED,53.33
2025-11-24T05:26:16.956Z,16,5,CLOSED,53.33
2025-11-24T05:26:32.687Z,16,5,CLOSED,53.33
2025-11-24T05:26:46.836Z,16,5,CLOSED,53.33
2025-11-24T05:27:01.733Z,16,5,CLOSED,53.33
2025-11-24T05:27:16.678Z,16,5,CLOSED,53.33
2025-11-24T05:27:31.850Z,16,5,CLOSED,53.33
2025-11-24T05:27:46.817Z,16,5,CLOSED,53.33
2025-11-24T05:28:02.698Z,16,5,CLOSED,53.33
2025-11-24T05:28:16.887Z,16,5,CLOSED,53.33
2025-11-24T05:28:32.717Z,16,5,CLOSED,53.33
2025-11-24T05:28:46.972Z,16,5,CLOSED,53.33
2025-11-24T05:29:01.720Z,16,5,CLOSED,53.33
2025-11-24T05:29:17.703Z,16,5,CLOSED,53.33
2025-11-24T05:29:31.980Z,16,5,CLOSED,53.33
2025-11-24T05:29:46.880Z,16,5,CLOSED,36.67
2025-11-24T05:30:01.831Z,16,5,CLOSED,53.33
2025-11-24T05:30:17.382Z,16,5,CLOSED,53.33
